Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1572913278.637, 46, 0, 0.439232, -0.527222, -0.44574, -0.574829, 0.999527, 0.056641, 0.046876, -76.115053, -72.376593, 64.451057
1572913278.6527, 47, 0, 0.439195, -0.527283, -0.445862, -0.574707, 0.992691, 0.053712, 0.04004, -75.068284, -73.722438, 62.357519
1572913278.6684, 48, 0, 0.439035, -0.527283, -0.445862, -0.574829, 0.981949, 0.041016, 0.048829, -76.264591, -73.423362, 62.806134
1572913278.6842, 49, 0, 0.439126, -0.527222, -0.445923, -0.574768, 0.990738, 0.039063, 0.031739, -77.161822, -73.423362, 64.600595
1572913278.6999, 50, 0, 0.439211, -0.5271, -0.445984, -0.574768, 0.992203, 0.047852, 0.045899, -75.367361, -73.871977, 63.703365
1572913278.7156, 51, 0, 0.439229, -0.5271, -0.446045, -0.574707, 0.990738, 0.039063, 0.031739, -77.161822, -73.423362, 64.600595
1572913278.7313, 52, 0, 0.439229, -0.5271, -0.446045, -0.574707, 0.992203, 0.047852, 0.045899, -75.068284, -74.171054, 64.301518
1572913278.7468, 53, 0, 0.439167, -0.5271, -0.446106, -0.574707, 0.985367, 0.050294, 0.033204, -76.264591, -73.722438, 63.553826
1572913278.7623, 54, 0, 0.439217, -0.527161, -0.445984, -0.574707, 1.000015, 0.036133, 0.036622, -75.367361, -73.871977, 63.404288
1572913278.778, 55, 0, 0.439268, -0.527222, -0.445862, -0.574707, 0.985367, 0.050294, 0.033204, -76.264591, -73.722438, 63.553826
1572913278.7937, 56, 0, 0.439296, -0.527405, -0.445618, -0.574707, 1.000015, 0.036133, 0.036622, -75.367361, -73.871977, 63.404288
1572913278.8094, 57, 0, 0.439346, -0.527466, -0.445496, -0.574707, 0.986343, 0.051759, 0.047364, -75.068284, -72.974746, 62.806134
